"TABLE B–73.  Bond yields and interest rates, 1941–2012—Continued",,,,,,,,,,,,,
[Percent per annum],,,,,,,,,,,,,
Year and month,U.S. Treasury securities,,,,,Corporate  bonds  (Moody's),,High-grade municipal  bonds  (Standard &  Poor's),New- home  mortgage  yields 4,Prime  rate  charged  by  banks 5,"Discount window  (Federal Reserve Bank  of New York) 5, 6",,Federal  funds  rate 7
         Mar.,.11,.16,1.17,3.41,4.51,5.13,6.03,4.70,4.98,3.25-3.25,0.75-0.75,......,.14
         Apr.,.06,.12,1.21,3.46,4.50,5.16,6.02,4.71,4.91,3.25-3.25,0.75-0.75,......,.10
         May.,.04,.08,.94,3.17,4.29,4.96,5.78,4.34,4.86,3.25-3.25,0.75-0.75,......,.09
         June.,.04,.10,.71,3.00,4.23,4.99,5.75,4.22,4.61,3.25-3.25,0.75-0.75,......,.09
         July.,.03,.08,.68,3.00,4.27,4.93,5.76,4.24,4.55,3.25-3.25,0.75-0.75,......,.07
         Aug.,.05,.09,.38,2.30,3.65,4.37,5.36,3.92,4.29,3.25-3.25,0.75-0.75,......,.10
         Sept.,.02,.05,.35,1.98,3.18,4.09,5.27,3.79,4.36,3.25-3.25,0.75-0.75,......,.08
         Oct.,.02,.06,.47,2.15,3.13,3.98,5.37,3.94,4.19,3.25-3.25,0.75-0.75,......,.07
         Nov.,.01,.05,.39,2.01,3.02,3.87,5.14,3.95,4.26,3.25-3.25,0.75-0.75,......,.08
         Dec.,.02,.05,.39,1.98,2.98,3.93,5.25,3.76,4.18,3.25-3.25,0.75-0.75,......,.07
2012: Jan.,.02,.06,.36,1.97,3.03,3.85,5.23,3.43,4.09,3.25-3.25,0.75-0.75,......,.08
         Feb.,.08,.11,.38,1.97,3.11,3.85,5.14,3.25,4.01,3.25-3.25,0.75-0.75,......,.10
         Mar.,.09,.14,.51,2.17,3.28,3.99,5.23,3.51,3.72,3.25-3.25,0.75-0.75,......,.13
         Apr.,.08,.14,.43,2.05,3.18,3.96,5.19,3.47,3.93,3.25-3.25,0.75-0.75,......,.14
         May.,.09,.14,.39,1.80,2.93,3.80,5.07,3.21,3.88,3.25-3.25,0.75-0.75,......,.16
         June.,.09,.14,.39,1.62,2.70,3.64,5.02,3.30,3.80,3.25-3.25,0.75-0.75,......,.16
         July.,.10,.14,.33,1.53,2.59,3.40,4.87,3.14,3.76,3.25-3.25,0.75-0.75,......,.16
         Aug.,.11,.14,.37,1.68,2.77,3.48,4.91,3.07,3.67,3.25-3.25,0.75-0.75,......,.13
         Sept.,.10,.13,.34,1.72,2.88,3.49,4.84,3.02,3.62,3.25-3.25,0.75-0.75,......,.14
         Oct.,.10,.15,.37,1.75,2.90,3.47,4.58,2.89,3.58,3.25-3.25,0.75-0.75,......,.16
         Nov.,.11,.15,.36,1.65,2.80,3.50,4.51,2.68,3.46,3.25-3.25,0.75-0.75,......,.16
         Dec.,.08,.12,.35,1.72,2.88,3.65,4.63,2.73,3.40,3.25-3.25,0.75-0.75,......,.16
"2 Yields on the more actively traded issues adjusted to constant maturities by the Department of the Treasury. The 30-year Treasury constant maturity series was discontinued on February 18, 2002, and reintroduced on February 9, 2006.",,,,,,,,,,,,,
"3 Beginning with December 7, 2001, data for corporate Aaa series are industrial bonds only.",,,,,,,,,,,,,
"4 Effective rate (in the primary market) on conventional mortgages, reflecting fees and charges as well as contract rate and assuming, on the average, repayment at end of 10 years. Rates beginning with January 1973 not strictly comparable with prior rates.",,,,,,,,,,,,,
"5 For monthly data, high and low for the period. Prime rate for 1947–1948 are ranges of the rate in effect during the period.",,,,,,,,,,,,,
"6 Primary credit replaced adjustment credit as the Federal Reserve's principal discount window lending program effective January 9, 2003.",,,,,,,,,,,,,
"7 Since July 19, 1975, the daily effective rate is an average of the rates on a given day weighted by the volume of transactions at these rates. Prior to that date, the daily effective rate was the rate considered most representative of the day's transactions, usually the one at which most transactions occurred.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"8 From October 30, 1942 to April 24, 1946, a preferential rate of 0.50 percent was in effect for advances secured by Government securities maturing in one year or less.",,,,,,,,,,,,,
"Sources: Department of the Treasury, Board of Governors of the Federal Reserve System, Federal Housing Finance Agency, Moody's Investors Service, and Standard & Poor's.",,,,,,,,,,,,,
